
2024-02-27 03:38:16,921	ERROR	An error occurred: 'access_token'
2024-02-27 12:54:23,027	ERROR	An error occurred: 'access_token'
2024-02-27 22:09:28,776	ERROR	An error occurred: 'access_token'
2024-02-28 05:06:09,657	INFO	预约成功
2024-02-28 22:07:45,062	INFO	预约成功
2024-02-29 22:07:25,793	INFO	该空间当前状态不可预约
2024-02-29 22:07:25,793	ERROR	An error occurred: 该空间当前状态不可预约
2024-03-01 22:06:39,344	INFO	预约成功
2024-03-01 22:13:34,153	INFO	该空间当前状态不可预约
2024-03-01 22:13:34,153	ERROR	An error occurred: 该空间当前状态不可预约
2024-03-02 21:56:53,039	INFO	预约失败，最新一天的系统开始预约时间为：06:00
2024-03-02 21:56:53,040	ERROR	An error occurred: 预约失败，最新一天的系统开始预约时间为：06:00
2024-03-02 22:12:08,272	INFO	预约成功
2024-03-03 22:00:14,054	INFO	预约成功
2024-03-03 22:18:17,872	INFO	该空间当前状态不可预约
2024-03-03 22:18:17,872	ERROR	An error occurred: 该空间当前状态不可预约
2024-03-04 22:00:20,056	INFO	预约成功
